date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:19:08	115/115	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Fri,%2013%20Jan%202017%2011:19:07%20GMT	http://localhost/robots.txt		(from )
12:19:08	21276/21276	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2013%20Jan%202017%2011:19:08%20GMT	http://localhost/	localhost/index.html	(from )
12:19:08	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2013%20Jan%202017%2011:19:08%20GMT	http://localhost/xmlrpc.php	localhost/xmlrpc.php	(from http://localhost/)
12:19:08	33842/33842	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%22075fa21acf4d510fc3065168dd8d446f-gzip%22	http://localhost/feed/	localhost/feed/index.html	(from http://localhost/)
12:19:09	10164/10164	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%22315c34431476580113c85153215101b5-gzip%22	http://localhost/comments/feed/	localhost/comments/feed/index.html	(from http://localhost/)
12:19:09	740/740	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%22315c34431476580113c85153215101b5-gzip%22	http://localhost/front-page/feed/	localhost/front-page/feed/index.html	(from http://localhost/)
12:19:09	8623/8623	U--M-Z	200	updated ('OK')	text/css	etag:%2221af-545d5baddc540-gzip%22	http://localhost/wp-content/themes/compphys/style.css?ver=4.7	localhost/wp-content/themes/compphys/style4906.css	(from http://localhost/)
12:19:09	2126/2126	U--M-Z	200	updated ('OK')	text/css	etag:%2284e-545d5bb0b8c00-gzip%22	http://localhost/wp-content/plugins/wp-jquery-lightbox/styles/lightbox.min.css?ver=1.4.6	localhost/wp-content/plugins/wp-jquery-lightbox/styles/lightbox.min5f04.css	(from http://localhost/)
12:19:09	10056/10056	U--M-Z	200	updated ('OK')	application/javascript	etag:%222748-545d5b9e9a140-gzip%22	http://localhost/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	localhost/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/)
12:19:11	21839/21839	U--M-Z	200	updated ('OK')	application/javascript	etag:%22554f-545d5bb0b8c00-gzip%22	http://localhost/wp-content/plugins/cpu-reporter/jquery.flot.pie.min.js?ver=4.7	localhost/wp-content/plugins/cpu-reporter/jquery.flot.pie.min4906.js	(from http://localhost/)
12:19:12	97184/97184	U--M-Z	200	updated ('OK')	application/javascript	etag:%2217ba0-545d5b9e9a140-gzip%22	http://localhost/wp-includes/js/jquery/jquery.js?ver=1.12.4	localhost/wp-includes/js/jquery/jqueryb8ff.js	(from http://localhost/)
12:19:12	788/788	U--M-Z	200	updated ('OK')	text/xml	date:Fri,%2013%20Jan%202017%2011:19:12%20GMT	http://localhost/xmlrpc.php?rsd	localhost/xmlrpc0db0.php	(from http://localhost/)
12:19:12	1045/1045	U--M-Z	200	updated ('OK')	application/xml	etag:%22415-545d5ba0825c0-gzip%22	http://localhost/wp-includes/wlwmanifest.xml	localhost/wp-includes/wlwmanifest.xml	(from http://localhost/)
12:19:12	106797/106797	U--M-Z	200	updated ('OK')	application/javascript	etag:%221a12d-545d5bb0b8c00-gzip%22	http://localhost/wp-content/plugins/cpu-reporter/jquery.flot.js?ver=4.7	localhost/wp-content/plugins/cpu-reporter/jquery.flot4906.js	(from http://localhost/)
12:19:13	56862/56862	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2013%20Jan%202017%2011:19:12%20GMT	http://localhost/blog/	localhost/blog/index.html	(from http://localhost/)
12:19:13	2323/2323	U--M--	200	updated ('OK')	application/json	date:Fri,%2013%20Jan%202017%2011:19:12%20GMT	http://localhost/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2F	localhost/wp-json/oembed/1.0/embed1408.json	(from http://localhost/)
12:19:13	27411/27411	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2013%20Jan%202017%2011:19:12%20GMT	http://localhost/software/	localhost/software/index.html	(from http://localhost/)
12:19:14	26203/26203	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2013%20Jan%202017%2011:19:13%20GMT	http://localhost/projects/	localhost/projects/index.html	(from http://localhost/)
12:19:14	30039/30039	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2013%20Jan%202017%2011:19:13%20GMT	http://localhost/courses/	localhost/courses/index.html	(from http://localhost/)
12:19:14	31373/31373	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2013%20Jan%202017%2011:19:13%20GMT	http://localhost/thesises/	localhost/thesises/index.html	(from http://localhost/)
12:19:15	52890/52890	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2013%20Jan%202017%2011:19:14%20GMT	http://localhost/people/	localhost/people/index.html	(from http://localhost/)
12:19:15	24095/24095	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2013%20Jan%202017%2011:19:14%20GMT	http://localhost/internals/	localhost/internals/index.html	(from http://localhost/)
12:19:15	28955/28955	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2013%20Jan%202017%2011:19:14%20GMT	http://localhost/events/	localhost/events/index.html	(from http://localhost/)
12:19:16	344505/344505	U-----	200	untouched ('')	image/png	etag:%22541b9-545d5baaffe80%22	http://localhost/wp-content/uploads/2012/09/molecular-dynamics1-624x390.png	localhost/wp-content/uploads/2012/09/molecular-dynamics1-624x390.png	(from http://localhost/)
12:19:16	26004/26004	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2013%20Jan%202017%2011:19:15%20GMT	http://localhost/cluster-info/using-smaug/	localhost/cluster-info/using-smaug/index.html	(from http://localhost/)
12:19:16	21083/21083	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2013%20Jan%202017%2011:19:15%20GMT	http://localhost/coding-style/	localhost/coding-style/index.html	(from http://localhost/)
